iter	Passed	Remaining
303	6758	15473
304	6779	15448
305	6799	15420
306	6819	15394
307	6842	15374
308	6864	15351
309	6884	15323
310	6904	15297
311	6927	15276
312	6949	15254
313	6973	15234
314	6993	15208
315	7015	15185
316	7035	15158
317	7056	15132
318	7081	15118
319	7102	15093
320	7124	15069
321	7143	15042
322	7168	15025
323	7191	15003
324	7213	14982
325	7237	14964
326	7261	14945
327	7282	14919
328	7308	14905
329	7326	14874
330	7346	14848
331	7370	14830
332	7407	14838
333	7432	14821
334	7458	14805
335	7483	14789
336	7508	14771
337	7529	14746
338	7556	14733
339	7581	14716
340	7607	14701
341	7629	14679
342	7650	14654
343	7673	14632
344	7694	14609
345	7715	14583
346	7734	14555
347	7759	14537
348	7778	14509
349	7797	14480
350	7821	14461
351	7841	14435
352	7862	14410
353	7888	14396
354	7911	14373
355	7932	14349
356	7955	14328
357	7975	14302
358	7997	14279
359	8023	14263
360	8045	14241
361	8064	14213
362	8085	14188
363	8104	14161
364	8123	14133
365	8144	14109
366	8168	14088
367	8190	14066
368	8217	14052
369	8241	14032
370	8272	14025
371	8298	14008
372	8318	13983
373	8340	13960
374	8361	13935
375	8385	13916
376	8407	13893
377	8428	13869
378	8448	13843
379	8468	13816
380	8490	13793
381	8517	13780
382	8540	13758
383	8568	13744
384	8590	13722
385	8610	13696
386	8633	13674
387	8654	13650
388	8677	13629
389	8698	13605
390	8716	13576
391	8736	13551
392	8758	13527
393	8782	13507
394	8803	13483
395	8825	13461
396	8844	13434
397	8868	13414
398	8889	13389
399	8912	13369
400	8932	13342
401	8951	13315
402	8973	13292
403	8991	13264
404	9009	13236
405	9038	13223
406	9062	13204
407	9085	13182
408	9122	13182
409	9144	13158
410	9164	13133
411	9185	13109
412	9212	13094
413	9234	13070
414	9253	13044
415	9280	13027
416	9300	13003
417	9324	12982
418	9351	12967
419	9370	12940
420	9394	12919
421	9422	12905
422	9445	12884
423	9466	12860
424	9487	12836
425	9508	12812
426	9528	12786
427	9555	12769
428	9580	12751
429	9601	12727
430	9626	12708
431	9648	12685
432	9675	12669
433	9693	12641
434	9713	12616
435	9736	12595
436	9757	12571
437	9780	12549
438	9802	12526
439	9825	12505
440	9847	12482
441	9867	12456
442	9890	12435
443	9910	12410
444	9931	12386
445	9950	12360
446	9968	12332
447	9992	12312
448	10012	12287
449	10032	12261
450	10057	12243
451	10080	12221
452	10107	12204
453	10131	12184
454	10152	12160
455	10171	12134
456	10191	12109
457	10214	12087
458	10237	12066
459	10262	12046
460	10283	12023
461	10307	12003
462	10325	11975
463	10344	11950
464	10365	11925
465	10386	11902
466	10407	11878
467	10427	11853
468	10453	11835
469	10474	11812
470	10495	11787
471	10515	11762
472	10533	11735
473	10549	11706
474	10564	11676
475	10582	11649
476	10600	11622
477	10620	11597
478	10638	11571
479	10657	11545
480	10677	11521
481	10699	11498
482	10716	11471
483	10735	11444
484	10753	11419
485	10774	11395
486	10795	11371
487	10815	11347
488	10836	11323
489	10853	11297
490	10873	11271
491	10889	11243
492	10910	11219
493	10939	11205
494	10967	11189
495	10990	11168
496	11012	11144
497	11029	11117
498	11049	11094
499	11073	11073
500	11100	11055
501	11121	11032
502	11141	11008
503	11162	10985
504	11183	10962
505	11202	10937
506	11225	10915
507	11249	10894
508	11274	10875
509	11298	10855
510	11320	10832
511	11343	10811
512	11359	10783
513	11376	10757
514	11397	10733
515	11416	10708
516	11436	10684
517	11459	10662
518	11481	10640
519	11501	10617
520	11520	10592
521	11538	10566
522	11556	10540
523	11576	10515
524	11597	10492
525	11615	10466
526	11632	10440
527	11653	10417
528	11670	10390
529	11692	10368
530	11713	10345
531	11731	10320
532	11748	10293
533	11766	10268
534	11789	10246
535	11812	10225
536	11834	10203
537	11853	10178
538	11869	10151
539	11886	10125
540	11905	10100
541	11923	10075
542	11944	10052
543	11962	10027
544	11983	10004
545	12002	9980
546	12028	9961
547	12053	9941
548	12075	9920
549	12099	9899
550	12127	9882
551	12149	9860
552	12175	9841
553	12196	9818
554	12219	9797
555	12239	9773
556	12254	9746
557	12273	9722
558	12296	9700
559	12320	9680
560	12341	9657
561	12366	9637
562	12385	9613
563	12406	9591
564	12425	9566
565	12449	9546
566	12468	9522
567	12493	9502
568	12516	9480
569	12536	9457
570	12556	9433
571	12576	9410
572	12598	9388
573	12615	9362
574	12637	9340
575	12659	9318
576	12688	9301
577	12708	9278
578	12728	9254
579	12751	9234
580	12775	9213
581	12799	9192
582	12824	9173
583	12846	9150
584	12865	9127
585	12886	9103
586	12905	9079
587	12928	9059
588	12955	9039
589	12980	9020
590	13005	9000
591	13030	8980
592	13052	8958
593	13077	8938
594	13099	8916
595	13119	8893
596	13142	8871
597	13162	8848
598	13186	8827
599	13205	8803
600	13225	8780
601	13245	8757
602	13268	8735
603	13292	8714
604	13312	8691
605	13334	8669
606	13354	8646
607	13375	8623
608	13404	8606
609	13427	8584
610	13446	8560
611	13468	8538
612	13491	8517
613	13514	8495
614	13535	8473
615	13553	8449
616	13576	8427
617	13594	8403
618	13619	8382
619	13648	8364
620	13668	8342
621	13691	8320
622	13718	8301
623	13740	8279
624	13760	8256
625	13778	8232
626	13798	8208
627	13819	8186
628	13839	8162
629	13857	8138
630	13885	8120
631	13912	8100
632	13930	8076
633	13952	8054
634	13974	8032
635	13998	8011
636	14022	7991
637	14043	7968
638	14073	7950
639	14099	7930
640	14122	7909
641	14142	7886
642	14164	7864
643	14198	7849
644	14219	7826
645	14242	7804
646	14265	7783
647	14287	7761
648	14306	7737
649	14325	7713
650	14348	7692
651	14376	7673
652	14397	7650
653	14418	7628
654	14442	7606
655	14463	7584
656	14486	7563
657	14509	7541
658	14529	7518
659	14549	7495
660	14569	7472
661	14586	7447
662	14605	7423
663	14627	7401
664	14647	7378
665	14669	7356
666	14687	7332
667	14705	7308
668	14723	7284
669	14740	7260
670	14762	7238
671	14781	7214
672	14797	7189
673	14819	7167
674	14836	7143
675	14855	7120
676	14874	7096
677	14891	7072
678	14909	7048
679	14925	7023
680	14942	6999
681	14961	6975
682	14989	6956
683	15008	6933
684	15026	6909
685	15043	6885
686	15064	6863
687	15084	6840
688	15107	6819
689	15124	6794
690	15142	6771
691	15162	6748
692	15178	6724
693	15198	6701
694	15218	6678
695	15237	6655
696	15258	6633
697	15274	6608
698	15293	6585
699	15310	6561
700	15331	6539
701	15352	6517
702	15368	6492
703	15385	6468
704	15411	6448
705	15428	6424
706	15447	6401
707	15466	6378
708	15489	6357
709	15509	6334
710	15529	6312
711	15548	6289
712	15566	6265
713	15583	6242
714	15599	6217
715	15618	6194
716	15640	6173
717	15657	6149
718	15673	6125
719	15691	6102
720	15708	6078
721	15729	6056
722	15749	6034
723	15768	6011
724	15786	5988
725	15806	5965
726	15822	5941
727	15842	5919
728	15862	5896
729	15879	5873
730	15897	5850
731	15913	5826
732	15930	5802
733	15950	5780
734	15969	5757
735	15990	5735
736	16008	5712
737	16026	5689
738	16047	5667
739	16072	5647
740	16092	5624
741	16129	5608
742	16148	5585
743	16168	5563
744	16186	5540
745	16220	5522
746	16236	5499
747	16256	5476
748	16275	5454
749	16294	5431
750	16313	5408
751	16333	5386
752	16355	5364
753	16371	5341
754	16392	5319
755	16413	5297
756	16443	5278
757	16466	5257
758	16485	5234
759	16504	5211
760	16524	5189
761	16552	5169
762	16574	5148
763	16596	5126
764	16615	5103
765	16633	5081
766	16653	5058
767	16673	5036
768	16691	5013
769	16712	4992
770	16729	4968
771	16753	4947
772	16772	4925
773	16792	4903
774	16810	4880
775	16832	4858
776	16853	4837
777	16873	4814
778	16905	4796
779	16928	4774
780	16948	4752
781	16966	4729
782	16986	4707
783	17003	4684
784	17021	4662
785	17040	4639
786	17058	4616
787	17080	4595
788	17100	4573
789	17121	4551
790	17138	4528
791	17156	4505
792	17174	4483
793	17196	4461
794	17216	4439
795	17233	4416
796	17253	4394
797	17275	4373
798	17297	4351
799	17315	4328
800	17332	4306
801	17350	4283
802	17368	4261
803	17389	4239
804	17407	4216
805	17428	4194
806	17450	4173
807	17470	4151
808	17494	4130
809	17511	4107
810	17533	4086
811	17550	4063
812	17566	4040
813	17586	4018
814	17603	3995
815	17625	3974
816	17643	3952
817	17659	3929
818	17679	3907
819	17698	3885
820	17717	3862
821	17742	3842
822	17759	3819
823	17777	3797
824	17797	3775
825	17815	3752
826	17831	3730
827	17849	3707
828	17867	3685
829	17885	3663
830	17905	3641
831	17926	3619
832	17945	3597
833	17964	3575
834	17987	3554
835	18008	3532
836	18028	3510
837	18051	3489
838	18075	3468
839	18098	3447
840	18121	3426
841	18140	3403
842	18158	3381
843	18177	3359
844	18192	3337
845	18211	3315
846	18229	3292
847	18249	3271
848	18267	3249
849	18289	3227
850	18308	3205
851	18329	3183
852	18350	3162
853	18369	3140
854	18397	3119
855	18414	3097
856	18435	3076
857	18457	3054
858	18475	3032
859	18497	3011
860	18517	2989
861	18535	2967
862	18552	2945
863	18572	2923
864	18590	2901
865	18608	2879
866	18625	2857
867	18644	2835
868	18664	2813
869	18683	2791
870	18705	2770
871	18724	2748
872	18742	2726
873	18760	2704
874	18780	2682
875	18807	2662
876	18839	2642
877	18858	2620
878	18876	2598
879	18897	2576
880	18917	2555
881	18936	2533
882	18953	2511
883	18972	2489
884	18990	2467
885	19008	2445
886	19025	2423
887	19055	2403
888	19074	2381
889	19121	2363
890	19142	2341
891	19161	2320
892	19185	2298
893	19207	2277
894	19229	2255
895	19252	2234
896	19268	2212
897	19287	2190
898	19305	2168
899	19323	2147
900	19344	2125
901	19370	2104
902	19391	2082
903	19410	2061
904	19427	2039
905	19449	2017
906	19468	1996
907	19489	1974
908	19516	1953
909	19535	1932
910	19558	1910
911	19574	1888
912	19592	1866
913	19608	1845
914	19630	1823
915	19649	1801
916	19668	1780
917	19684	1758
918	19700	1736
919	19718	1714
920	19736	1692
921	19754	1671
922	19781	1650
923	19806	1629
924	19826	1607
925	19850	1586
926	19873	1565
927	19896	1543
928	19914	1521
929	19935	1500
930	19955	1479
931	19975	1457
932	19999	1436
933	20021	1414
934	20044	1393
935	20064	1371
936	20083	1350
937	20110	1329
938	20128	1307
939	20146	1285
940	20168	1264
941	20187	1242
942	20209	1221
943	20231	1200
944	20253	1178
945	20273	1157
946	20292	1135
947	20329	1115
948	20356	1093
949	20374	1072
950	20394	1050
951	20415	1029
952	20435	1007
953	20455	986
954	20472	964
955	20491	943
956	20514	921
957	20536	900
958	20559	878
959	20583	857
960	20606	836
961	20626	814
962	20648	793
963	20673	772
964	20696	750
965	20717	729
966	20740	707
967	20765	686
968	20790	665
969	20813	643
970	20837	622
971	20860	600
972	20884	579
973	20910	558
974	20934	536
975	20959	515
976	20981	493
977	21006	472
978	21025	451
979	21048	429
980	21069	408
981	21089	386
982	21117	365
983	21140	343
984	21165	322
985	21190	300
986	21211	279
987	21233	257
988	21251	236
989	21272	214
990	21293	193
991	21315	171
992	21337	150
993	21359	128
994	21381	107
995	21405	85
996	21433	64
997	21463	43
998	21485	21
999	21509	0
