iter	Logloss
0	0.6784044573
1	0.6637815775
2	0.6503233141
3	0.6371562191
4	0.6248392707
5	0.6131687105
6	0.6029644814
7	0.5919492787
8	0.5823431045
9	0.5728537141
10	0.5637969286
11	0.5550924064
12	0.5472092633
13	0.5395915769
14	0.53213939
15	0.5253894964
16	0.5184471137
17	0.5114520686
18	0.5052306632
19	0.4992713173
20	0.4933593612
21	0.4877292568
22	0.4826807164
23	0.4778387178
24	0.4730634686
25	0.4685306602
26	0.4641218856
27	0.460195139
28	0.4563255056
29	0.452339371
30	0.4490249952
31	0.4456921008
32	0.4425652924
33	0.4391965733
34	0.4361970261
35	0.4333311951
36	0.430572075
37	0.4281552927
38	0.425543124
39	0.4228723196
40	0.4205322877
41	0.4182940165
42	0.4158478803
43	0.4139053793
44	0.4117462112
45	0.4096754478
46	0.4076647799
47	0.4059118684
48	0.4041591403
49	0.4023617252
50	0.4008121309
51	0.3991653795
52	0.3975891149
53	0.3959174233
54	0.3946910751
55	0.3932760325
56	0.391794684
57	0.3903665607
58	0.3890507821
59	0.3877166122
60	0.3864363797
61	0.3851239047
62	0.3839783831
63	0.3827638719
64	0.3817320506
65	0.3807694357
66	0.3796812301
67	0.37864367
68	0.3773969362
69	0.3763430448
70	0.3753721847
71	0.3743352842
72	0.373319817
73	0.3723702453
74	0.3714063022
75	0.3706918451
76	0.3699482825
77	0.3692058949
78	0.3683315618
79	0.3675420769
80	0.3667784193
81	0.3660742496
82	0.3653618306
83	0.3647152688
84	0.3641233569
85	0.3634987511
86	0.3626992609
87	0.3618807543
88	0.3613012507
89	0.3606474257
90	0.3601657056
91	0.3594202143
92	0.3588997114
93	0.3582300446
94	0.3575906885
95	0.3569955767
96	0.3565202245
97	0.3559305164
98	0.3554048628
99	0.3548731897
100	0.3543466498
101	0.3538936026
102	0.3533345179
103	0.3528338949
104	0.3522702227
105	0.3517797259
106	0.3512849273
107	0.3508121087
108	0.3502240992
109	0.3496607595
110	0.3491929723
111	0.3487091489
112	0.3483198382
113	0.3478742547
114	0.3474255316
115	0.3470265995
116	0.3466262306
117	0.3462780554
118	0.3458237252
119	0.3455545596
120	0.3452491602
121	0.3448130015
122	0.3444047469
123	0.3441053155
124	0.3437150307
125	0.3433621877
126	0.3429487983
127	0.3426783761
128	0.3422595355
129	0.3419529882
130	0.3416927851
131	0.3413537896
132	0.3409192389
133	0.3405840633
134	0.3402112435
135	0.3399112382
136	0.3395273815
137	0.3390982976
138	0.3388576775
139	0.3386096304
140	0.3383467629
141	0.3380723152
142	0.3376799308
143	0.3374171408
144	0.3372107047
145	0.3369149989
146	0.336551597
147	0.3361563319
148	0.335896954
149	0.3356191887
150	0.3354524994
151	0.3350026356
152	0.334779563
153	0.3343688109
154	0.3340452691
155	0.3337782762
156	0.3336375347
157	0.3333951606
158	0.3331571672
159	0.3329216317
160	0.3326591427
161	0.3325191602
162	0.3321355272
163	0.3319375456
164	0.3316394274
165	0.3313775879
166	0.33123092
167	0.3309679852
168	0.3307565197
169	0.3305124768
170	0.330229462
171	0.3299443139
172	0.3295968983
173	0.3294644483
174	0.3291641684
175	0.3289673882
176	0.3286809251
177	0.328398666
178	0.3282070112
179	0.3280152912
180	0.3277062247
181	0.3273503841
182	0.3270979791
183	0.3268498991
184	0.3266214038
185	0.3264182193
186	0.3262625926
187	0.3259609331
188	0.3257141742
189	0.3256005034
190	0.3252947747
191	0.3251208211
192	0.3247935476
193	0.3245928974
194	0.3243385479
195	0.3241490035
196	0.3240290297
197	0.3238104632
198	0.3236234527
199	0.3234602253
200	0.3232545377
201	0.3230897997
202	0.3228486562
203	0.322750176
204	0.3226215704
205	0.3223723274
206	0.3221428404
207	0.322066292
208	0.321902982
209	0.3217108544
210	0.3214446276
211	0.3213003761
212	0.3211092833
213	0.320984792
214	0.3207691787
215	0.3203827445
216	0.3201257453
217	0.3198529191
218	0.3196910207
219	0.319449844
220	0.3192116779
221	0.3189866841
222	0.3188496689
223	0.3187168806
224	0.318529352
225	0.3183582046
226	0.3182591402
227	0.3180560922
228	0.3177287591
229	0.3174363241
230	0.3173249001
231	0.3171540734
232	0.3170198652
233	0.3168315148
234	0.3166848345
235	0.3165013925
236	0.3163836544
237	0.3160931306
238	0.3159505652
239	0.3159035397
240	0.3157146296
241	0.3154426325
242	0.3153748576
243	0.3153039749
244	0.3152774517
245	0.3150995979
246	0.3150386225
247	0.3148310753
248	0.31479292
249	0.3145792279
250	0.3145039659
251	0.3144122438
252	0.3142869842
253	0.3141005405
254	0.3140531634
255	0.3137138948
256	0.3135322201
257	0.3132493792
258	0.31311592
259	0.3128328777
260	0.3127298069
261	0.3126406481
262	0.3125603289
263	0.3124738845
264	0.3123320509
265	0.3121140875
266	0.3118894955
267	0.3118200803
268	0.3116526568
269	0.31156458
270	0.3114657414
271	0.3112512682
272	0.3109244906
273	0.3108624892
274	0.3107664946
275	0.3106761533
276	0.3105299204
277	0.3105138059
278	0.3103642112
279	0.3102137034
280	0.310058637
281	0.3098797482
282	0.3097298437
283	0.3094991
284	0.3094141846
285	0.309364878
286	0.309345315
287	0.3091955439
288	0.3090411578
289	0.3089337248
290	0.3086644237
291	0.3085517776
292	0.3084687343
293	0.3082513956
294	0.308168208
295	0.3079349446
296	0.3078644386
297	0.3077273304
298	0.3075536844
299	0.307369368
300	0.3070426343
301	0.3069267899
302	0.306807007
303	0.3066045368
304	0.3064592963
305	0.3062654972
306	0.3061182389
307	0.3060416769
308	0.3058477896
309	0.3056602944
310	0.3054900834
311	0.3053041599
312	0.3050239149
313	0.3046650725
314	0.3045986368
315	0.3044453043
316	0.3044100531
317	0.3043042957
318	0.3040789568
319	0.3038836964
320	0.3037820752
321	0.3037153093
322	0.3033894244
323	0.3033767675
324	0.3031354815
325	0.3029999646
326	0.3027509361
327	0.3026217737
328	0.3024277568
329	0.3024050094
330	0.3023725182
331	0.3020871015
332	0.3020410599
333	0.3017401768
334	0.3015852376
335	0.3014987981
336	0.301381051
337	0.3013453283
338	0.3012002357
339	0.301001945
340	0.3008389221
341	0.3006374998
342	0.3005382834
343	0.3004213055
344	0.3002121097
345	0.3001711273
346	0.3001323578
347	0.3000351119
348	0.3000166746
349	0.2999448441
350	0.2996731961
351	0.2994854621
352	0.2994526082
353	0.2991060738
354	0.2988214533
355	0.2987402315
356	0.2985451069
357	0.2983786791
358	0.2983388219
359	0.298184816
360	0.2981399246
361	0.2980217866
362	0.2979961599
363	0.2979472797
364	0.2979010881
365	0.2977580343
366	0.2974917162
367	0.2974515229
368	0.2973535648
369	0.2970160117
370	0.2967989385
371	0.2966209416
372	0.2965512536
373	0.2963162023
374	0.2962792055
375	0.2962278213
376	0.2959067423
377	0.2957450577
378	0.2955578681
379	0.2955464922
380	0.2953871522
381	0.2953353801
382	0.295119787
383	0.2947557418
384	0.2945740948
385	0.2945380619
386	0.2942858181
387	0.294013686
388	0.2939863709
389	0.2938668586
390	0.2938326509
391	0.2938058812
392	0.2936748783
393	0.2935430784
394	0.2934802225
395	0.2932148136
396	0.2930679772
397	0.2928031501
398	0.2927821357
399	0.2927545655
400	0.2926968828
401	0.2926765307
402	0.2925927296
403	0.2925598127
404	0.2925287157
405	0.2924826899
406	0.2923752323
407	0.2920841986
408	0.2920648661
409	0.2919286258
410	0.2918879878
411	0.2918090313
412	0.2914768403
413	0.2913652555
414	0.2913431304
415	0.2911556469
416	0.2911112688
417	0.2910376492
418	0.2908249128
419	0.2907896374
420	0.2907404296
421	0.2907049294
422	0.2904912702
423	0.2903997449
424	0.290098312
425	0.2900731022
426	0.2900463741
427	0.2896866515
428	0.2892873256
429	0.289269206
430	0.2890168583
431	0.2888175276
432	0.2883928214
433	0.2883704489
434	0.2883507524
435	0.2879866103
436	0.2878765666
437	0.2875017877
438	0.2874801652
439	0.2872487343
440	0.2871125385
441	0.2869036508
442	0.2868778279
443	0.2867433902
444	0.2865091986
445	0.2864872305
446	0.2864650168
447	0.2862204729
448	0.2860988362
449	0.2860796006
450	0.2856848984
451	0.2854123242
452	0.285176297
453	0.2848668653
454	0.2847573251
455	0.2847377766
456	0.2846032468
457	0.2843476382
458	0.2843187793
459	0.2839204833
460	0.28365842
461	0.2832731793
462	0.2830842509
463	0.2829157712
464	0.2826316712
465	0.2824127047
466	0.282262154
467	0.282244445
468	0.2821544886
469	0.2819054879
470	0.2815823814
471	0.2814034167
472	0.2812248206
473	0.2811088012
474	0.2810834484
475	0.2808489434
476	0.280829966
477	0.2806824836
478	0.2805059062
479	0.2803547105
480	0.2799702491
481	0.2797099551
482	0.2795371887
483	0.2793591463
484	0.2791200424
485	0.2788350543
486	0.2788210606
487	0.2785952683
488	0.2784094844
489	0.2783944003
490	0.2781623213
491	0.2781435912
492	0.2779050701
493	0.2777035367
494	0.2773623672
495	0.2773397445
496	0.2770879289
497	0.2770695341
498	0.2769539408
499	0.2766206243
500	0.2763929457
501	0.2762463968
502	0.276231086
503	0.2759987654
504	0.2759320211
505	0.2759080993
506	0.2757361806
507	0.2755280271
508	0.2752466867
509	0.2750649275
510	0.2749681579
511	0.2747323669
512	0.274719154
513	0.2745539701
514	0.2744412185
515	0.2744224748
516	0.2741903306
517	0.2739329629
518	0.2735847892
519	0.273564671
520	0.2735496792
521	0.2735359647
522	0.2734069012
523	0.2730855777
524	0.2728514048
525	0.2728307503
526	0.2727488748
527	0.2723993098
528	0.2723768966
529	0.2720486076
530	0.2719782455
531	0.2719628324
532	0.2719285054
533	0.2718079443
534	0.2715723728
535	0.2714041558
536	0.2710850766
537	0.2710709965
538	0.2710541015
539	0.2709697754
540	0.2707429142
541	0.2706171999
542	0.2705928473
543	0.2705797609
544	0.2703984932
545	0.2703864103
546	0.2702115069
547	0.2698194693
548	0.2695644002
549	0.269390299
550	0.2691035944
551	0.2688879102
552	0.2688272631
553	0.2686357527
554	0.2683603905
555	0.2683474788
556	0.2683274932
557	0.2683076659
558	0.2681400499
559	0.2678636914
560	0.2678474931
561	0.2676055055
562	0.2674969274
563	0.267253362
564	0.2670695655
565	0.2667311673
566	0.266720801
567	0.266609243
568	0.2665858674
569	0.2665624937
570	0.2663837567
571	0.266058096
572	0.2657964514
573	0.2656281989
574	0.2653200407
575	0.2651806596
576	0.2649886624
577	0.2647425032
578	0.264722974
579	0.2644324798
580	0.264198562
581	0.2641866565
582	0.2639236692
583	0.2636890656
584	0.2634962692
585	0.2632098382
586	0.2631943262
587	0.2628168434
588	0.2625206754
589	0.2623642265
590	0.2621272402
591	0.2619091961
592	0.2617815205
593	0.2614320692
594	0.261199357
595	0.2611896273
596	0.2610565738
597	0.2610336154
598	0.2608361618
599	0.260655439
600	0.2602811201
601	0.260041456
602	0.2598570084
603	0.2595860598
604	0.2594354202
605	0.2594217767
606	0.2594109241
607	0.2593909383
608	0.2591473433
609	0.2589561253
610	0.2589442202
611	0.2586415085
612	0.2584195503
613	0.2582056087
614	0.2578455614
615	0.2577143051
616	0.2576007285
617	0.2575913966
618	0.2572361078
619	0.2569284895
620	0.2569154512
621	0.2566308676
622	0.2562694432
623	0.2560293339
624	0.2557962664
625	0.2557839121
626	0.2557659229
627	0.2555953531
628	0.2553933588
629	0.255368703
630	0.255213529
631	0.2550121198
632	0.2549341542
633	0.2548292717
634	0.2545128067
635	0.2542580218
636	0.2539938268
637	0.2537639195
638	0.2535471669
639	0.2533072764
640	0.2530518013
641	0.2529304598
642	0.2527531893
643	0.2525017233
644	0.2522537998
645	0.2520034796
646	0.251753529
647	0.2516454793
648	0.2515869413
649	0.2515015625
650	0.2512830895
651	0.2511416243
652	0.2509955884
653	0.2507881421
654	0.2505326096
655	0.2502652823
656	0.2501056922
657	0.2498309788
658	0.2498211951
659	0.2497189249
660	0.2494692559
661	0.2494510455
662	0.2494396959
663	0.2492249623
664	0.2490043009
665	0.2487181878
666	0.248430454
667	0.2481629605
668	0.2479774909
669	0.2479610012
670	0.2476588639
671	0.2475746882
672	0.2475541676
673	0.2472242738
674	0.2472127672
675	0.2470325545
676	0.247014514
677	0.2468677359
678	0.246768312
679	0.2466890872
680	0.2465534174
681	0.2462671045
682	0.2460489802
683	0.2459329671
684	0.245750851
685	0.2455384489
686	0.2454243784
687	0.2451893378
688	0.244977675
689	0.2448534779
690	0.2448448323
691	0.2445237413
692	0.2443660272
693	0.2442038157
694	0.2440403681
695	0.2437526659
696	0.2436011557
697	0.2435935128
698	0.2433392079
699	0.2432279361
700	0.2429986848
701	0.2427972053
702	0.2427867138
703	0.2427031528
704	0.2424141595
705	0.2422912032
706	0.2421332347
707	0.2419314255
708	0.2417136027
709	0.2416648368
710	0.2415011528
711	0.2413654111
712	0.2411476701
713	0.2410404252
714	0.2408467427
715	0.2405825686
716	0.2403201134
717	0.2401372047
718	0.2401293546
719	0.2399901677
720	0.2399790971
721	0.2397383151
722	0.2395823533
723	0.2394091994
724	0.2391587133
725	0.2389308941
726	0.2389227263
727	0.2386733673
728	0.2384168612
729	0.2384096913
730	0.2381592803
731	0.2380859961
732	0.2380631501
733	0.2378373355
734	0.2375378472
735	0.2373441571
736	0.2371477662
737	0.2369348802
738	0.2367332951
739	0.2366690402
740	0.236406926
741	0.2362672697
742	0.2360601953
743	0.2358915616
744	0.2358794519
745	0.2356757917
746	0.2356664574
747	0.235575173
748	0.2354241555
749	0.2352348171
750	0.2350554354
751	0.2348726282
752	0.2345979064
753	0.2345760878
754	0.2342911497
755	0.2342842378
756	0.2341538777
757	0.2340211981
758	0.2339307158
759	0.2339249399
760	0.2336537373
761	0.2334805484
762	0.2332146428
763	0.2329028259
764	0.2328931012
765	0.2328262192
766	0.2326913061
767	0.2325818568
768	0.2324824376
769	0.2323704713
770	0.2323629528
771	0.2320613216
772	0.2318417917
773	0.2315888461
774	0.2314702099
775	0.2311589606
776	0.2309273199
777	0.2308372849
778	0.2307009855
779	0.2305293957
780	0.2303370661
781	0.2301285655
782	0.2299561206
783	0.2299490066
784	0.2297689596
785	0.2296352925
786	0.2296222432
787	0.2294512613
788	0.2293873863
789	0.2292576726
790	0.2292419627
791	0.2292279414
792	0.2290014884
793	0.2288173211
794	0.2285970185
795	0.2285878128
796	0.2282857429
797	0.2280326811
798	0.2278650359
799	0.22772303
800	0.2276589154
801	0.2275757081
802	0.2273436913
803	0.227164299
804	0.2269860232
805	0.2267606494
806	0.2265715332
807	0.2264642795
808	0.2262530552
809	0.2261928039
810	0.225999071
811	0.2258849349
812	0.225876262
813	0.2256354123
814	0.2256292341
815	0.2254253443
816	0.225182784
817	0.2251749346
818	0.2250347687
819	0.2249228861
820	0.2247404175
821	0.2245556545
822	0.2244690268
823	0.2243045442
824	0.2240300331
825	0.2240170442
826	0.224002953
827	0.2238283023
828	0.2236212867
829	0.2236133239
830	0.2235032527
831	0.223279638
832	0.2231082115
833	0.222904529
834	0.2227240368
835	0.2224691247
836	0.2222064658
837	0.221945193
838	0.2217112285
839	0.2214972897
840	0.22129796
841	0.2211923077
842	0.2210649378
843	0.2209220973
844	0.2209121655
845	0.2206273684
846	0.2204455646
847	0.2202966915
848	0.2201265559
849	0.2199633265
850	0.2199580117
851	0.2198230958
852	0.2196416994
853	0.2196329131
854	0.2193429762
855	0.2193367522
856	0.2191037941
857	0.2189476637
858	0.2189279482
859	0.2187463783
860	0.2185200358
861	0.2183838081
862	0.218264826
863	0.2180549933
864	0.2179460757
865	0.2179279384
866	0.2177328397
867	0.2175371784
868	0.2173638437
869	0.2171308664
870	0.216921596
871	0.2166557627
872	0.2164985766
873	0.216385636
874	0.2162112246
875	0.2160253158
876	0.2158185923
877	0.2155694152
878	0.215422459
879	0.2151506899
880	0.21501103
881	0.214823402
882	0.2147381216
883	0.2145873755
884	0.2144854011
885	0.2142575592
886	0.2142521897
887	0.2140670165
888	0.2138425188
889	0.2137644956
890	0.2136276394
891	0.213615157
892	0.2135042477
893	0.213236663
894	0.2129716012
895	0.21276835
896	0.2127563166
897	0.2127118383
898	0.2126096891
899	0.2124447125
900	0.2121893612
901	0.2119943207
902	0.2118320889
903	0.2115566429
904	0.2114899288
905	0.2112966829
906	0.2111692352
907	0.210982583
908	0.210707304
909	0.210692327
910	0.2105128354
911	0.2104946858
912	0.2103211286
913	0.2102098737
914	0.2102012316
915	0.2100426669
916	0.2099145452
917	0.2099059786
918	0.2098997119
919	0.2098140691
920	0.2097209377
921	0.2097133636
922	0.2094398234
923	0.2092140671
924	0.2090816451
925	0.2090602374
926	0.2089613848
927	0.2089497778
928	0.2089452547
929	0.2087669741
930	0.2085074932
931	0.2083598718
932	0.2081893822
933	0.2079990835
934	0.207896211
935	0.2078181624
936	0.2078119819
937	0.2076197214
938	0.2076098224
939	0.2074571476
940	0.2073131595
941	0.2072002427
942	0.2069755805
943	0.206691086
944	0.2064364851
945	0.2064302766
946	0.2063031282
947	0.206183063
948	0.2061696686
949	0.2060526862
950	0.2058633733
951	0.2056615621
952	0.2054960092
953	0.2053120375
954	0.2052415067
955	0.2051463633
956	0.2049259466
957	0.2047318897
958	0.2044943123
959	0.2042582689
960	0.204102402
961	0.2040494763
962	0.2039714045
963	0.2037449225
964	0.2035859094
965	0.2034086512
966	0.2031677411
967	0.2029846109
968	0.2028353965
969	0.2026526075
970	0.2025001496
971	0.2023466392
972	0.202264323
973	0.202127225
974	0.2019270664
975	0.2016903298
976	0.2016366478
977	0.2015540096
978	0.2014572055
979	0.2012953036
980	0.2012846519
981	0.2012793588
982	0.2012267511
983	0.2011212822
984	0.2009462716
985	0.2006817152
986	0.2004473914
987	0.2004366731
988	0.2004288378
989	0.2002367975
990	0.2001178823
991	0.199998904
992	0.1999897588
993	0.1998822325
994	0.1996826569
995	0.1996644852
996	0.1994519355
997	0.1992004958
998	0.1991925801
999	0.1990135822
